Common Name,Latin Name,Image,Category,Ecological Status,Evergreen,Seasonal Interest,Height Class,Sun Exposure,Moisture Preference,Notes,inaturalist image url,curated image url,Habitat Patch Role,Aggressive,Patch Scale,Mesic South- Facing Heat,Dry Upper Slope,Mid-Slope Mesic,Moist Lower Area,Woodland Edge,Conifer Shade,Dry Slope,Native L3_58,Native L3_598,Native L3_64,Native L3_84,Plant Form,Max Height (ft),Foliage Color,deer_pressure,rabbit_damage,vole_girdling_risk,toxic_dogs,toxic_cats,toxic_children,juglone_sensitivity,white_pine_tolerance,norway_maple_tolerance,seed_ripe_start,seed_ripe_end,seed_notes,caterpillar_species,propagation_notes,edible,edible_notes,medicinal,medicinal_notes,Flower Color,Bloom Period,bloom_start_idx,bloom_end_idx,Flower Color,flower_color_hex,Latin Name for alignment
Balsam Fir,Abies balsamea,,Tree,Native,Yes,Evergreen; fragrance; wildlife cover,Structural,Full Sun–Part Sun,Mesic–Moist,Iconic conifer of northern bogs and cool upland forests. Strongly fragrant foliage. Provides critical winter cover for birds and habitat for red squirrels. Heat-sensitive in southern New England — best on cool north-facing slopes or moist sites.,https://inaturalist-open-data.s3.amazonaws.com/photos/9906794/medium.jpg,,Woody,N,Large,1 - Don't Use,1 - Don't Use,3 - OK,4 - Strong,3 - OK,4 - Strong,1 - Don't Use,Yes,Yes,No,Yes,Tree,50,dark green,high,low,low,no,no,no,unknown,tolerant,avoid,September,October,Upright cones disintegrate on tree; collect whole cones before they open fully; air dry and shake out seeds; cold stratify,20,Cold stratify seed 30-60 days; direct sow in fall also works; transplants well as small container stock,with caveats,Young tips edible; inner bark historically used as food,with caveats,Inner bark and resin used medicinally,,Spring (inconspicuous),3,5,,,Abies balsamea
Box elder,Acer negundo,,Midstory Tree,Native,N,Fast growth,Medium Tree,Full Sun to Part Shade,Mesic,Adaptable floodplain maple,https://inaturalist-open-data.s3.amazonaws.com/photos/229714369/medium.jpg,,Midstory structure,Y,Medium,3 - OK,3 - OK,4 - Strong,4 - Strong,3 - OK,2 - Marginal,3 - OK,Yes,Yes,Yes,No,Tree,50,,high,medium,medium,no,no,no,tolerant,marginal,marginal,September,October,Paired samaras; collect when dry,250,Division not practical; best from fresh seed,no,,no,,,Spring,3,5,,,Acer negundo
Striped maple,Acer pensylvanicum,,Tree - Small,Native,N,Striped bark,Small Tree,Part Shade,Mesic,Understory maple,https://inaturalist-open-data.s3.amazonaws.com/photos/407320729/medium.jpeg,,Understory fill,N,Medium,3 - OK,2 - Marginal,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,Yes,No,Yes,No,Tree,20,,high,medium,medium,no,no,no,tolerant,tolerant,marginal,September,October,Paired samaras; collect when dry,250,Best grown from fresh seed; slow to establish,no,,no,,yellow,Spring,3,5,yellow,#F9C820,Acer pensylvanicum
Red Maple,Acer rubrum,,Tree - Large,Native,No,Spring / Summer,Structural,Full Sun–Part Sun,Mesic–Moist,"Fast growing, wet adaptable",https://inaturalist-open-data.s3.amazonaws.com/photos/371065093/medium.jpg,,Woody,N,Large,4 - Strong,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Tree,60,,high,medium,medium,no,yes,no,tolerant,marginal,marginal,April,May,Paired samaras disperse quickly; collect promptly,250,Best grown from fresh seed; transplants poorly once established,no,,no,,red,Late Spring,4,5,red,#C0392B,Acer rubrum
Silver maple,Acer saccharinum,,Tree - Large,Native,N,Fast growth,Large Tree,Full Sun,Mesic to Moist,Brittle wood; use selectively,https://inaturalist-open-data.s3.amazonaws.com/photos/135565/medium.jpg,,Canopy structure,N,Large,3 - OK,2 - Marginal,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,Yes,Yes,Yes,No,Tree,70,silver,high,medium,medium,no,yes,no,tolerant,avoid,avoid,April,May,Paired samaras; collect as they drop,250,Best grown from fresh seed; transplants poorly once established,no,,no,,red | yellow,Spring,3,5,red | yellow,#C0392B,Acer saccharinum
Sugar Maple,Acer saccharum,,Tree - Large,Native,No,Spring,Structural,Part Sun–Shade,Mesic,Iconic canopy tree,https://inaturalist-open-data.s3.amazonaws.com/photos/270771956/medium.jpg,,Woody,N,Large,2 - Marginal,2 - Marginal,4 - Strong,4 - Strong,5 - Best Fit,3 - OK,2 - Marginal,Yes,No,Yes,No,Tree,75,,high,medium,medium,no,no,no,tolerant,marginal,avoid,May,June,Paired samaras; collect as they fall,250,Best grown from fresh seed; transplants poorly once established,yes,Sap edible; source of maple syrup,no,,yellow,Early Spring,2,3,yellow,#F9C820,Acer saccharum
White Yarrow,Achillea millefolium,,Flowering Perennial,Native,No,Summer / Fall,Mid,Full Sun,Dry–Mesic,Native white-flowered yarrow — distinct from the colored European cultivars. Documented host plant for specialist native bees and multiple caterpillar species. Feathery aromatic foliage. Spreads by rhizome in dry open sites. Good for meadow and pollinator plantings.,https://static.inaturalist.org/photos/19971995/medium.jpeg,,Matrix,M,Medium,4 - Strong,5 - Best Fit,4 - Strong,1 - Don't Use,2 - Marginal,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,2,green,low,low,low,mild,mild,mild,tolerant,avoid,avoid,July,August,Tiny achenes in flat-topped seed heads; collect when dry and brown,20,Divide in early spring or fall; spreads by rhizome — easy to control by division,with caveats,Bitter; not recommended as food,yes,Traditional medicinal herb; used for wounds and fever,white,Early–Mid Summer,5,7,white,#FFFFFF,Achillea millefolium
Yarrow (ornamental forms),Achillea millefolium cultivars,,Flowering Perennial,Safe Non-Native,No,Summer / Fall,Mid,Full Sun,Dry,"drought hardy, pollinator friendly",,,,,,5 - Best Fit,5 - Best Fit,4 - Strong,2 - Marginal,3 - OK,1 - Don't Use,5 - Best Fit,No,No,No,No,Herbaceous,2,silver,low,low,low,mild,mild,mild,unknown,avoid,avoid,July,August,Cultivar — seeds may not come true,20,Divide in early spring or fall,no,,with caveats,Cultivar form; medicinal use uncertain,white | pink | red | yellow,Early Summer,5,6,white | pink | red | yellow,#FFFFFF,Achillea millefolium cultivars
Monkshood (Hybrid),Aconitum × cammarum,,Flowering Perennial,Safe Non-Native,No,Late Season Color,Tall,Part Sun–Shade,Mesic,Deep violet-blue hooded flowers in late summer. Beautiful and useful — but the entire plant is extremely toxic. Strictly not for gardens where young children or pets have unsupervised access. Very shade tolerant.,https://static.inaturalist.org/photos/22762627/medium.jpeg,,Anchor,N,Medium,2 - Marginal,1 - Don't Use,4 - Strong,4 - Strong,4 - Strong,3 - OK,1 - Don't Use,No,No,No,No,Herbaceous,4,,low,low,low,yes,yes,yes,unknown,marginal,tolerant,August,September,Dry follicles; seeds toxic — handle with gloves,0,Divide in early spring wearing gloves — all parts highly toxic; do not allow skin contact with sap,no,Highly toxic — do not ingest,no,,blue | purple,Late Summer–Fall,8,10,blue | purple,#4A7FC1,Aconitum × cammarum
Actaea pachypoda (white baneberry),Actaea pachypoda,,Perennial,Native,No,Foliage + berries,Medium,Shade,Mesic–Moist,Woodland forb; striking fruit,https://inaturalist-open-data.s3.amazonaws.com/photos/660709/medium.jpg,,Understory fill,N,Small,2 - Marginal,1 - Don't Use,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,Yes,No,Yes,No,Herbaceous,2,green,low,low,low,yes,yes,yes,tolerant,tolerant,tolerant,July,August,Toxic berries,15,Division preferred,no,Highly toxic berries,no,,white,Spring,3,5,white,#FFFFFF,Actaea pachypoda
